书名,img_url,作者,简介
Microsoft Dynamics 365 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/Microsoft-Dynamics-365-For-Dummies.jpg, Renato Bellu,"Accelerate your digital transformation and break down silos with Microsoft Dynamics 365 It’s no secret that running a business involves several complex parts like managing staff, financials, marketing, and operations—just to name a few. That’s where Microsoft Dynamics 365, the most profitable business management tool, comes in. In Microsoft…"
Android Phones & Tablets For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/Android-Phones-Tablets-For-Dummies.jpg, Dan Gookin,"Outsmart your new Android Getting a smartphone or tablet can be intimidating for anyone, but this user-friendly guide is here to help you to get the most out of all your new gadget has to offer! Whether you’re upgrading from an older model or totally new to the…"
CCNA Security 640-554 Official Cert Guide,http://www.allitebooks.com/wp-content/uploads/2018/10/CCNA-Security-640-554-Official-Cert-Guide.jpg," Keith Barker, Scott Morris","Trust the best selling Official Cert Guide series from Cisco Press to help you learn, prepare, and practice for exam success. They are built with the objective of providing assessment, review, and practice to help ensure you are fully prepared for your certification exam. CCNA Security 640-554 Official…"
Applied WPF 4 in Context,http://www.allitebooks.com/wp-content/uploads/2018/10/Applied-WPF-4-in-Context.jpg, Raffaele Garofalo,"Applied WPF 4 in Context sets the standard for leveraging the latest Windows user interface technology in your business applications. Using this book, you’ll learn how to implement world-class Windows Professional Foundation (WPF) solutions in a real-world line of business applications, developing the code from the ground up, and understand…"
Ajax Patterns and Best Practices,http://www.allitebooks.com/wp-content/uploads/2018/10/Ajax-Patterns-and-Best-Practices.jpg, Christian Gross,"Takes a unique angle on Ajax, providing patterns for application development and best practices for integrating Ajax and REST into rich applications Designed to suit all groups of developers across many platforms, who are interested in the hot new topic of Ajax High demand for Ajax knowledge. Leading…"
Testing and Tuning Market Trading Systems,http://www.allitebooks.com/wp-content/uploads/2018/10/Testing-and-Tuning-Market-Trading-Systems-Algorithms-in-C.jpg, Timothy Masters,"Build, test, and tune financial, insurance or other market trading systems using C++ algorithms and statistics. You’ve had an idea and have done some preliminary experiments, and it looks promising. Where do you go from here?  Well, this book discusses and dissects this case study approach. Seemingly good…"
Final Cut Pro X Cookbook,http://www.allitebooks.com/wp-content/uploads/2018/10/Final-Cut-Pro-X-Cookbook-400x493.jpg, Cox Jason,"As technology becomes more and more accessible and easier to use, we are expected to do more in less time than ever before. Video editors are now expected to be able not only to edit, but create motion graphics, fix sound issues, enhance image quality and color and…"
Windows Server 2012,http://www.allitebooks.com/wp-content/uploads/2018/10/Windows-Server-2012.jpg, Samara Lynn,"If your organization plans to move to a cloud infrastructure from a LAN or WAN, this book shows you how to do it efficiently with Windows Server 2012. Experienced Windows administrators will learn how to deploy, configure, and manage the server’s expanded capabilities and features step-by-step, using clear…"
"Mastering 3D Printing in the Classroom, Library, and Lab",http://www.allitebooks.com/wp-content/uploads/2018/10/Mastering-3D-Printing-in-the-Classroom-Library-and-Lab.jpg," Joan Horvath, Rich Cameron","Learn how to manage and integrate the technology of 3D printers in the classroom, library, and lab. With this book, the authors give practical, lessons-learned advice about the nuts and bolts of what happens when you mix 3D printers, teachers, students, and the general public in environments ranging…"
Mastering Jenkins,http://www.allitebooks.com/wp-content/uploads/2018/10/Mastering-Jenkins-400x493.jpg, Jonathan McAllister,"With the software industry becoming more and more competitive, organizations are now integrating delivery automation and automated quality assurance practices into their business model. Jenkins represents a complete automation orchestration system, and can help converge once segregated groups into a cohesive product development and delivery team. By mastering…"
Access 2019 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/Access-2019-For-Dummies.jpg," Ken Cook, Laurie A. Ulrich","Easy steps to practical databases People who really know how to build, populate, and simplify databases are few and far between. Access 2019 For Dummies is here to help you join the ranks of office heroes who possess these precious skills. This book offers clear and simple advice on how…"
Learning Perl 6,http://www.allitebooks.com/wp-content/uploads/2018/10/Learning-Perl-6.jpg, brian d foy,"If you’re ready to get started with Perl 6, this is the book you want, whether you’re a programmer, system administrator, or web hacker. Perl 6 is a new language—a modern reinvention of Perl suitable for almost any task, from short fixes to complete web applications. This hands-on…"
Electron in Action,http://www.allitebooks.com/wp-content/uploads/2018/10/Electron-in-Action.jpg, Steve Kinney,"Electron in Action guides you, step-by-step, as you learn to build cross-platform desktop applications that run on Windows, OSX, and Linux. By the end of the book, you’ll be ready to build simple, snappy applications using JavaScript, Node, and the Electron framework."
Microservices in Action,http://www.allitebooks.com/wp-content/uploads/2018/10/Morgan-Bruce.jpg," Morgan Bruce, Paulo A. Pereira","Microservices in Action is a practical book about building and deploying microservice-based applications. Written for developers and architects with a solid grasp of service-oriented development, it tackles the challenge of putting microservices into production."
"Spring in Action, 5th Edition",http://www.allitebooks.com/wp-content/uploads/2018/10/Spring-in-Action-5th-Edition.jpg, Craig Walls,"Spring in Action, 5th Edition is the fully updated revision of Manning’s bestselling Spring in Action. This new edition includes all Spring 5.0 updates, along with new examples on reactive programming, Spring WebFlux, and microservices. You’ll also find the latest Spring best practices, including Spring Boot for application setup…"
YouTube Channels For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/YouTube-Channels-For-Dummies-400x493.jpg," Adam Wescott, John Carucci, Rob Ciampa, Stan Muller, Theresa Moore","Create content and build a YouTube channel like a pro Written by a successful YouTube channel producer, YouTubeChannels For Dummies shows you how to create content, establisha channel, build an audience, and successfully monetize videocontent online. Beginning with the basics, it shows you how toestablish a channel, join a partner…"
Photoshop Elements 2018 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/Photoshop-Elements-2018-For-Dummies-400x498.jpg," Barbara Obermeier, Ted Padova",The top-selling book on Photoshop Elements—updated in a new edition Photoshop Elements offers photo editors of all skill levels the power to turn run-of-the-mill images into beautiful works of art—and Photoshop Elements 2018 For Dummies shows you how. Those new to photo editing who are looking for advice on making…
"Yammer: Collaborate, Connect, and Share",http://www.allitebooks.com/wp-content/uploads/2018/10/Yammer-Collaborate-Connect-and-Share.jpg, Charles Waghmare,"Build a successful Yammer implementation, make your workplace social and collaborative, create a culture of sharing, form expert communities and generate innovative solutions. Besides, this book will help to enhance your collaboration your suppliers, partners, and clients. The author starts by giving an introduction to social collaborations and…"
Deploying Chromebooks in the Classroom,http://www.allitebooks.com/wp-content/uploads/2018/10/Deploying-Chromebooks-in-the-Classroom.jpg, Guy Hart-Davis,Learn how to deploy Chromebook computers in a classroom or lab situation and how to navigate the hardware and software choices you face. This book equips you with the skills and knowledge to plan and execute a deployment of Chromebook computers in the classroom.  Teachers and IT administrators at…
Getting to Know Vue.js,http://www.allitebooks.com/wp-content/uploads/2018/10/Getting-to-Know-Vuejs.jpg, Brett Nelson,"Learn how to render lists of items without repeating your code structure and how to work with conditional rendering items and event handling. Containing all you need to know to get started with Vue.js, this book will take you through using build tools (transpile to ES5), creating custom…"
Dart in Action,http://www.allitebooks.com/wp-content/uploads/2018/10/Dart-in-Action.jpg, Chris Buckett,"Dart in Action introduces Google’s Dart language and provides techniques and examples showing how to use it as a viable replacement for Java and JavaScript in browser-based desktop and mobile applications. It begins with a rapid overview of Dart language and tools, including features like interacting with the browser,…"
Mastering Azure Analytics,http://www.allitebooks.com/wp-content/uploads/2018/10/Mastering-Azure-Analytics.jpg, Zoiner Tejada,Microsoft Azure has over 20 platform-as-a-service (PaaS) offerings that can act in support of a big data analytics solution. So which one is right for your project? This practical book helps you understand the breadth of Azure services by organizing them into a reference framework you can use…
Vue.js: Up and Running,http://www.allitebooks.com/wp-content/uploads/2018/10/Vue.js-Up-and-Running.jpg, Callum Macrae,"Get a brisk introduction to building fast, interactive single-page web applications with Vue.js, the popular JavaScript framework that organizes and simplifies web development. With this practical guide, you’ll quickly move from basics to custom components and advanced features—including JSX, the JavaScript syntax extension. Author Callum Macrae shows you…"
Excel 2019 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/10/Excel-2019-For-Dummies.jpg, Greg Harvey,The bestselling Excel book on the market — now in a new edition covering the latest version of Excel! Excel is the spreadsheet and data analysis tool of choice for people across the globe who utilize the Microsoft Office suite to make their work and personal lives easier….
